"","1","2","3","4","5","6","7","8","9","10"
"1",124,0,0,0,0,0,0,0,0,0
"2",82,0,0,0,0,0,0,0,0,0
"3",249,0,0,0,0,0,0,0,0,0
"4",52,0,0,0,0,0,0,0,0,0
"5",45,0,0,0,0,0,0,0,0,0
"6",0,119,0,0,0,0,0,0,0,0
"7",0,44,0,0,0,0,0,0,0,0
"8",0,339,0,0,0,0,0,0,0,0
"9",0,0,278,0,0,0,0,0,0,0
"10",0,0,165,0,0,0,0,0,0,0
"11",0,0,153,0,0,0,0,0,0,0
"12",0,0,111,0,0,0,0,0,0,0
"13",0,0,179,0,0,0,0,0,0,0
"15",0,0,0,5,0,0,0,0,0,0
"16",0,0,0,16,0,0,0,0,0,0
"17",0,0,0,9,0,0,0,0,0,0
"18",0,0,0,19,0,0,0,0,0,0
"19",0,0,0,3,0,0,0,0,0,0
"20",0,0,0,0,25,0,0,0,0,0
"21",0,0,0,0,15,0,0,0,0,0
"22",0,0,0,0,98,0,0,0,0,0
"23",0,0,0,0,251,0,0,0,0,0
"24",0,0,0,0,180,0,0,0,0,0
"25",0,0,0,0,0,82,0,0,0,0
"26",0,0,0,0,0,48,0,0,0,0
"27",0,0,0,0,0,50,0,0,0,0
"28",0,0,0,0,0,25,0,0,0,0
"29",0,0,0,0,0,0,86,0,0,0
"30",0,0,0,0,0,0,118,0,0,0
"31",0,0,0,0,0,0,205,0,0,0
"32",0,0,0,0,0,0,141,0,0,0
"33",0,0,0,0,0,0,0,810,0,0
"34",0,0,0,0,0,0,0,182,0,0
"35",0,0,0,0,0,0,0,214,0,0
"36",0,0,0,0,0,0,0,225,0,0
"37",0,0,0,0,0,0,0,132,0,0
"38",0,0,0,0,0,0,0,0,339,0
"39",0,0,0,0,0,0,0,0,328,0
"40",0,0,0,0,0,0,0,0,0,71
"41",0,0,0,0,0,0,0,0,0,205
