"","lambda","features"
"s0",0.316227766016838,0
"s1",0.281510727744773,0
"s2",0.250605096553008,0
"s3",0.223092437440898,0
"s4",0.198600253258591,0
"s5",0.176796941424003,0
"s6",0.15738730431619,0
"s7",0.140108552559802,0
"s8",0.124726747088605,0
"s9",0.111033631816764,0
"s10",0.0988438140350333,0
"s11",0.0879922543569107,0
"s12",0.0783320322308388,0
"s13",0.0697323567654597,0
"s14",0.0620767959362476,0
"s15",0.0552617001985409,0
"s16",0.0491947991640822,0
"s17",0.0437939523413049,0
"s18",0.0389860370254907,0
"s19",0.0347059582818107,1
"s20",0.030895767617294,1
"s21",0.0275038784093195,1
"s22",0.0244843674682223,2
"s23",0.0217963532777912,3
"s24",0.0194034424955791,6
"s25",0.0172732372191299,7
"s26",0.0153768963469401,7
"s27",0.0136887450953708,8
"s28",0.0121859273847109,10
"s29",0.0108480963880074,12
"s30",0.00965713905296605,13
"s31",0.00859693086719079,13
"s32",0.00765311754650134,14
"s33",0.00681292069057961,16
"s34",0.0060649647746946,18
"s35",0.0053991231351259,20
"s36",0.00480638086306439,23
"s37",0.00427871275069427,24
"s38",0.00380897463695407,27
"s39",0.00339080668189405,29
"s40",0.00301854726004992,31
"s41",0.00268715630702523,32
"s42",0.00239214708146264,34
"s43",0.00212952541852136,38
"s44",0.00189573565240638,41
"s45",0.00168761247578815,44
"s46",0.00150233808433186,46
"s47",0.00133740402611082,46
"s48",0.00119057723937878,47
"s49",0.0010598698188825,49
"s50",0.000943512101377104,55
"s51",0.000839928705945847,57
"s52",0.000747717204731322,57
"s53",0.000665629135298619,57
"s54",0.000592553097554568,58
"s55",0.000527499706370262,61
"s56",0.000469588196178635,64
"s57",0.000418034496185145,65
"s58",0.000372140614740433,63
"s59",0.000331285189148724,66
"s60",0.000294915072964707,67
"s61",0.000262537846878306,67
"s62",0.000233715151791328,69
"s63",0.000208056753821717,70
"s64",0.000185215260880817,72
"s65",0.000164881419290742,73
"s66",0.000146779926762207,73
"s67",0.000130665705044235,73
"s68",0.00011632058178069,74
"s69",0.000103550336648913,76
"s70",9.21820717877747e-05,79
"s71",8.20618709130545e-05,79
"s72",7.30527154266445e-05,80
"s73",6.50326293055225e-05,81
"s74",5.78930276539312e-05,81
"s75",5.15372465596164e-05,79
"s76",4.58792343496709e-05,79
"s77",4.08423865267452e-05,79
"s78",3.63585086116858e-05,80
"s79",3.23668928504061e-05,80
"s80",2.88134962844146e-05,80
"s81",2.56502090568005e-05,80
"s82",2.28342030471827e-05,81
"s83",2.03273520167171e-05,81
"s84",1.80957154124332e-05,82
"s85",1.61090788420683e-05,82
"s86",1.43405449978327e-05,83
"s87",1.27661694905741e-05,83
"s88",1.13646366638572e-05,83
"s89",1.01169709987675e-05,83
"s90",9.0062802021128e-06,83
"s91",8.01752649966579e-06,83
"s92",7.13732303795785e-06,83
"s93",6.35375263808448e-06,83
"s94",5.65620644760902e-06,83
"s95",5.03524030605305e-06,83
"s96",4.48244687928931e-06,83
"s97",3.99034183164938e-06,83
"s98",3.55226249461666e-06,83
"s99",3.16227766016838e-06,83
